JCO5595,25
FUE2739,113
MZQ3288,172
HNL5181,124
SNC0736,94
HSK1809,85
ZXY3936,162
HUU6299,41
DIP4584,53
ZAX0008,100
IVK7659,14
QXU4671,112
LLK0179,103
UNB8954,49
AAR4423,17
RNG2820,72
TIV4114,69
HMT7131,56
LAY4235,168
DKS0230,151
EEX3859,116
NPI2930,80
GIP8808,42
ZCA3565,16
MYB7988,47
IHF2798,179
UMX8991,94
QIR0530,3
FOA2546,57
CLH7712,97
ZWH5823,83
GUJ7682,177
QYI6113,139
NWL2075,53
IVH0231,178
CLJ4190,40
LCR3306,90
FFU9601,28
WFK0048,19
YQQ3095,23
KBD7017,81
BPB5157,71
OCZ7514,7
BPG5968,136
OXC9439,62
LWT6000,28
YCM3954,146
TDX0559,87
NXM6275,143
WVQ4142,157
EOE1856,34
DGU1991,171
SKD0223,21
BOQ4802,49
HTH6627,50
XBD3715,131
HPG1027,61
ZLW4723,173
HKM4656,133
FBY6167,163
RRR8895,91
SRG3531,167
NKC5757,134
WBE5625,30
LXY9663,120
RWX6018,165
QJM1926,100
MWL8473,140
POX4515,172
OCQ8500,128
LUZ3834,134
RJD7205,21
YOC6842,46
JVY8764,81
FGW5724,90
LJD6576,41
IYK5020,120
HDJ1263,173
WTS0392,119
KQA3889,47
WES4114,94
FZO5553,6
HFT7140,42
CVD3963,109
ZJH1753,54
YAH6833,14
KTA6000,98
MYX8900,5
WSD7864,30
TII1358,83
DUL2227,128
ZUZ2268,106
KIM8912,87
YJK7134,73
GOS2768,178
XGA9620,131
QET2359,170
LKG8508,111
PJF4690,50
AEU3240,161